DateTime,GWL(m)
1984-03-01,198.566384516129
1984-04-01,195.2115984
1984-05-01,192.50961522580639
1984-06-01,191.5743183999999
1984-07-01,190.27798761290308
1984-08-01,190.56941574193533
1984-09-01,191.0079999999999
1984-10-01,194.17736283870966
1984-11-01,196.0733696
1984-12-01,196.90669935483868
1985-01-01,198.5304967741935
1985-02-01,199.2460182857142
1985-03-01,201.7561656774193
1985-04-01,201.9043968
1985-05-01,200.35801858064514
1985-06-01,200.4244912
1985-07-01,202.1547654193548
1985-08-01,197.78068877419352
1985-09-01,198.27605759999997
1985-10-01,201.66777367741935
1985-11-01,204.03596479999996
1985-12-01,205.41160258064517
1986-01-01,205.0504637419355
1986-02-01,204.97244828571428
1986-03-01,203.18508774193543
1986-04-01,200.4362768
1986-05-01,199.7438957419355
1986-06-01,205.9520392
1986-07-01,203.02541187096776
1986-08-01,199.04531380645153
1986-09-01,201.10074079999993
1986-10-01,203.76204464516124
1986-11-01,205.8077672
1986-12-01,206.8634338064516
1987-01-01,208.76568077419353
1987-02-01,208.3035857142857
1987-03-01,208.96429238709672
1987-04-01,207.5091608
1987-05-01,207.00836129032254
1987-06-01,211.87267759999995
1987-07-01,209.9414221935484
1987-08-01,207.62120593548389
1987-09-01,208.11053119999997
1987-10-01,207.89936051612895
1987-11-01,208.18317519999997
1987-12-01,208.5277401290322
1988-01-01,208.41624232258062
1988-02-01,207.58982068965517
1988-03-01,206.80994632258066
1988-04-01,205.468728
1988-05-01,202.0433659354838
1988-06-01,199.86274479999983
1988-07-01,199.79177883870963
1988-08-01,199.97406890322574
1988-09-01,199.40280159999986
1988-10-01,200.05439845161283
1988-11-01,200.61834399999992
1988-12-01,201.08167277419346
1989-01-01,201.40367922580643
1989-02-01,202.03570028571426
1989-03-01,201.27861290322576
1989-04-01,200.202292
1989-05-01,196.65627174193546
1989-06-01,193.3212288
1989-07-01,192.23323045161274
1989-08-01,191.8982454193547
1989-09-01,192.22405039999995
1989-10-01,193.18292825806446
